<DATE>,<CLOSE>_dxy,<CLOSE>_brent
2022-06-27,104.855,111.34
2022-07-04,107.135,106.89
2022-07-11,107.665,100.84
2022-07-18,106.485,103.54
2022-07-25,105.525,103.41
2022-08-01,106.46,93.99
2022-08-08,105.665,97.6
2022-08-15,108.045,95.71
2022-08-22,109.24,98.87
2022-08-29,109.96,94.53
2022-09-05,108.725,92.48
2022-09-12,109.5,91.93
2022-09-19,113.535,86.89
2022-09-26,112.045,87.95
2022-10-03,112.62,97.92
2022-10-10,112.895,92.33
2022-10-17,112.095,93.74
2022-10-24,110.61,94.19
2022-10-31,110.975,96.86
2022-11-07,106.72,96.81
2022-11-14,107.25,87.76
2022-11-21,106.26,83.44
2022-11-28,104.1,86.89
2022-12-05,105.095,76.96
2022-12-12,104.235,79.69
2022-12-19,104.04,83.97
2022-12-26,103.265,85.99
2023-01-02,103.345,78.87
2023-01-09,101.735,85.19
2023-01-16,101.495,87.14
2023-01-23,101.65,87.12
2023-01-30,102.92,80.0
2023-02-06,103.675,86.02
2023-02-13,103.855,82.86
2023-02-20,105.18,83.09
2023-02-27,104.455,85.48
2023-03-06,103.525,83.16
2023-03-13,103.525,73.26
2023-03-20,102.68,75.0
2023-03-27,102.725,84.95
2023-04-03,101.88,85.23
2023-04-10,101.4,86.41
2023-04-17,101.535,81.57
2023-04-24,101.53,79.77
2023-05-01,100.93,75.41
2023-05-08,102.49,74.17
2023-05-15,102.92,75.72
2023-05-22,104.11,77.46
2023-05-29,104.05,77.83
2023-06-05,103.62,74.54
2023-06-12,101.95,76.12
2023-06-19,102.39,74.69
2023-06-26,102.59,75.17
