Дата,Цена закрытия,"Выручка, млрд долл.США"
04/2019,50.17,53.81
05/2019,43.77,53.81
06/2019,49.48,53.81
07/2019,53.26,64.04
08/2019,52.19,64.04
09/2019,55.99,64.04
10/2019,62.19,91.82
11/2019,66.81,91.82
12/2019,73.41,91.82
01/2020,77.38,58.31
02/2020,68.34,58.31
03/2020,63.57,58.31
04/2020,73.45,59.69
05/2020,79.49,59.69
06/2020,91.2,59.69
07/2020,106.26,64.7
08/2020,129.04,64.7
09/2020,115.81,64.7
10/2020,108.86,111.44
11/2020,119.05,111.44
12/2020,132.69,111.44
01/2021,131.96,89.58
02/2021,121.26,89.58
03/2021,122.15,89.58
04/2021,131.46,81.43
05/2021,124.61,81.43
06/2021,136.96,81.43
07/2021,145.86,83.36
08/2021,151.83,83.36
09/2021,141.5,83.36
10/2021,149.8,123.95
11/2021,165.3,123.95
12/2021,177.57,123.95
01/2022,174.78,97.28
02/2022,165.12,97.28
03/2022,174.61,97.28
04/2022,157.65,82.96
05/2022,148.84,82.96
06/2022,136.72,82.96
07/2022,162.51,90.1
08/2022,157.22,90.1
09/2022,138.2,90.1
10/2022,153.34,117.2
11/2022,148.03,117.2
12/2022,129.93,117.2
01/2023,144.29,94.8
02/2023,147.41,94.8
03/2023,164.9,94.8
04/2023,169.68,81.8
05/2023,177.25,81.8
06/2023,193.97,81.8
07/2023,196.45,
