date,low,high
Jan 2008,85.1,98.47
Feb 2008,86.85,101.28
Mar 2008,96.99,107.86
Apr 2008,98.98,117.58
May 2008,108.45,135.11
Jul 2008,121.28,147.43
Aug 2008,110.36,127.91
Sep 2008,89.08,116.7
Oct 2008,59.49,97.4
Nov 2008,47.45,67.67
Dec 2008,37.0,50.42
Jan 2009,42.65,52.13
Apr 2009,47.29,54.21
May 2009,50.62,65.65
Jun 2009,64.91,72.34
Jul 2009,59.54,72.06
Aug 2009,68.93,75.82
Sep 2009,64.57,72.17
Oct 2009,65.95,80.2
Dec 2009,71.08,79.7
Jan 2010,71.23,81.71
Feb 2010,67.95,78.7
Mar 2010,76.31,82.78
Apr 2010,83.25,87.65
May 2010,68.23,89.46
Jun 2010,71.4,79.78
Jul 2010,71.01,78.3
Sep 2010,75.26,82.37
Oct 2010,81.05,86.01
Nov 2010,82.46,89.41
Dec 2010,87.19,95.12
Jan 2011,92.42,101.67
Feb 2011,97.56,118.03
Mar 2011,108.08,117.9
Apr 2011,116.84,127.3
Jun 2011,102.4,120.71
Jul 2011,109.94,119.79
Aug 2011,99.06,119.95
Sep 2011,101.83,116.49
Oct 2011,99.38,114.74
Nov 2011,106.86,116.43
Dec 2011,102.83,111.46
Feb 2012,111.29,125.55
Mar 2012,121.43,128.25
May 2012,101.32,119.96
Jun 2012,89.04,102.29
Aug 2012,105.31,116.9
Sep 2012,107.66,117.0
Oct 2012,106.93,115.91
Nov 2012,105.06,111.64
Dec 2012,106.7,112.32
Jan 2013,109.7,115.73
Feb 2013,110.87,119.15
Mar 2013,107.01,111.81
Apr 2013,97.55,111.78
May 2013,98.76,105.93
Jun 2013,99.72,106.53
Jul 2013,102.52,109.4
Aug 2013,105.85,117.02
Oct 2013,106.28,111.98
Nov 2013,103.0,111.66
Jan 2014,105.83,111.32
Feb 2014,105.35,110.83
Mar 2014,105.45,112.38
Apr 2014,103.97,110.63
May 2014,106.85,111.03
Jul 2014,104.51,112.8
Aug 2014,101.07,106.82
Sep 2014,94.26,103.28
Oct 2014,82.7,96.22
Nov 2014,69.83,86.39
Dec 2014,55.82,73.01
Jan 2015,45.23,58.22
Apr 2015,54.0,66.94
May 2015,61.27,69.6
Jun 2015,60.94,66.35
Jul 2015,51.64,63.35
Aug 2015,42.22,54.29
Sep 2015,46.16,53.46
Oct 2015,46.41,54.05
Dec 2015,35.99,45.17
Jan 2016,27.11,38.99
Feb 2016,29.94,36.99
Mar 2016,35.96,42.54
Apr 2016,37.28,48.49
Jun 2016,46.69,52.85
Jul 2016,41.82,50.73
Aug 2016,41.5,51.22
Sep 2016,45.09,50.14
Oct 2016,47.99,53.73
Nov 2016,43.58,50.47
Dec 2016,50.46,57.49
Feb 2017,54.21,57.43
Mar 2017,49.64,56.64
Apr 2017,50.43,56.63
May 2017,46.65,54.66
Jun 2017,44.36,50.73
Jul 2017,46.12,52.85
Aug 2017,49.99,53.63
Sep 2017,51.98,59.49
Nov 2017,60.04,64.64
Dec 2017,61.14,67.08
Jan 2018,66.23,71.26
Feb 2018,61.76,70.01
Mar 2018,63.2,71.05
May 2018,72.37,80.5
Jun 2018,72.44,79.7
Aug 2018,70.3,78.0
Sep 2018,75.64,82.85
Oct 2018,75.11,86.72
Nov 2018,57.52,75.5
Dec 2018,49.96,63.71
Jan 2019,52.5,63.12
Feb 2019,60.61,67.73
Mar 2019,64.01,68.88
Apr 2019,68.35,75.59
May 2019,64.42,73.39
Jun 2019,59.45,66.86
Jul 2019,61.29,67.64
Aug 2019,55.88,65.19
Oct 2019,56.15,62.34
Nov 2019,60.21,64.6
Jan 2020,57.73,71.99
Feb 2020,50.12,60.02
Apr 2020,16.0,36.43
May 2020,25.29,36.98
Jun 2020,35.32,43.93
Jul 2020,41.13,44.88
Aug 2020,43.24,46.24
Sep 2020,39.28,46.04
Oct 2020,36.68,43.6
Dec 2020,46.77,52.47
Jan 2021,50.58,57.42
Feb 2021,55.88,67.7
Mar 2021,60.26,71.36
Apr 2021,61.24,68.95
May 2021,64.56,70.26
Jun 2021,69.63,76.59
Jul 2021,67.42,77.83
Sep 2021,70.41,80.74
Oct 2021,77.57,86.72
Nov 2021,70.22,85.5
Dec 2021,65.77,80.16
Jan 2022,77.04,91.69
Feb 2022,88.01,105.75
Mar 2022,96.95,137.0
Apr 2022,97.62,114.82
Jun 2022,107.03,125.18
Jul 2022,94.5,114.69
Aug 2022,91.52,105.48
Sep 2022,83.63,96.99
Oct 2022,86.51,98.76
Nov 2022,80.64,99.56
Dec 2022,75.11,89.41
Feb 2023,79.09,86.95
Mar 2023,70.13,86.76
Apr 2023,77.39,87.49
May 2023,68.2,80.19
Jun 2023,71.57,78.72
Jul 2023,74.58,85.66
