Дата,Цена_platinum,Цена_gold,Цена_palladium
01.01.2018,1014.0,1348.4,1018.15
01.02.2018,997.9,1323.7,1037.6
01.03.2018,939.4,1333.3,938.65
01.04.2018,915.9,1325.3,955.8
01.05.2018,920.9,1310.8,981.7
01.06.2018,862.5,1260.2,945.6
01.07.2018,855.2,1233.6,928.6
01.08.2018,795.6,1206.7,969.9
01.09.2018,826.5,1201.9,1065.9
01.10.2018,852.1,1220.8,1062.0
01.11.2018,810.1,1231.8,1144.6
01.12.2018,805.6,1287.7,1181.8
01.01.2019,834.7,1331.6,1289.4
01.02.2019,884.9,1322.7,1501.5
01.03.2019,859.5,1304.5,1332.6
01.04.2019,902.8,1291.7,1379.1
01.05.2019,804.8,1316.9,1331.5
01.06.2019,846.2,1419.6,1533.0
01.07.2019,887.9,1437.8,1523.4
01.08.2019,941.5,1529.4,1539.2
01.09.2019,895.1,1479.6,1640.3
01.10.2019,943.9,1521.8,1749.9
01.11.2019,911.0,1478.1,1810.1
01.12.2019,983.6,1529.3,1903.6
01.01.2020,972.5,1593.8,2221.0
01.02.2020,874.5,1571.8,2491.1
01.03.2020,730.8,1596.6,2289.9
01.04.2020,812.1,1701.0,1951.8
01.05.2020,873.4,1760.7,1972.9
01.06.2020,856.1,1810.0,1962.5
01.07.2020,925.9,1985.9,2157.8
01.08.2020,953.3,1978.6,2279.3
01.09.2020,915.8,1902.6,2335.2
01.10.2020,857.9,1887.2,2227.8
01.11.2020,973.4,1784.8,2405.9
01.12.2020,1083.1,1899.6,2459.7
01.01.2021,1087.7,1852.7,2219.3
01.02.2021,1193.3,1731.6,2313.5
01.03.2021,1195.1,1717.5,2617.5
01.04.2021,1212.1,1769.8,2959.6
01.05.2021,1190.5,1906.9,2830.1
01.06.2021,1076.3,1773.5,2781.5
01.07.2021,1054.3,1817.2,2662.7
01.08.2021,1019.2,1818.1,2471.0
01.09.2021,963.7,1758.5,1902.1
01.10.2021,1023.4,1785.9,1982.5
01.11.2021,931.7,1778.3,1705.5
01.12.2021,966.6,1831.0,1912.9
01.01.2022,1021.1,1799.2,2357.0
01.02.2022,1040.7,1904.0,2504.6
01.03.2022,998.0,1959.5,2255.1
01.04.2022,943.6,1918.6,2317.6
01.05.2022,970.2,1856.3,2006.3
01.06.2022,898.4,1816.3,1923.8
01.07.2022,894.9,1781.8,2146.5
01.08.2022,833.9,1726.2,2078.9
01.09.2022,860.9,1684.9,2187.8
01.10.2022,929.7,1654.9,1844.3
01.11.2022,1040.8,1775.1,1866.0
01.12.2022,1086.0,1842.2,1806.7
01.01.2023,1031.9,1962.2,1667.7
01.02.2023,966.5,1853.2,1420.9
01.03.2023,1009.1,2004.1,1478.5
01.04.2023,1098.2,2018.3,1496.03
01.05.2023,999.0,1982.1,1359.0
01.06.2023,913.2,1929.4,1222.0
01.07.2023,958.6,2009.2,1275.6
01.08.2023,974.4,1965.9,1218.7
